filename,Noise,Zipper,Positioning,Banding,Motion,Contrast,Distortion
LISA_0040_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0040_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0041_LF_axi.nii.gz,0,0,2,0,0,1,1
LISA_0041_LF_cor.nii.gz,0,0,2,0,0,0,0
LISA_0041_LF_sag.nii.gz,0,0,2,0,1,0,1
LISA_0042_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0042_LF_cor.nii.gz,0,0,2,0,0,0,0
LISA_0042_LF_sag.nii.gz,0,1,0,0,1,0,0
LISA_0043_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0043_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0043_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0044_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0044_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0044_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0045_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0045_LF_cor.nii.gz,1,0,0,1,0,0,0
LISA_0045_LF_sag.nii.gz,0,0,0,0,1,0,0
LISA_0046_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0046_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0046_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0047_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0047_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0047_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0048_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0048_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0048_LF_sag.nii.gz,0,1,0,0,0,1,1
LISA_0049_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0049_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0049_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0050_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0050_LF_cor.nii.gz,0,1,0,0,0,0,0
LISA_0050_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0051_LF_axi.nii.gz,0,1,0,0,1,0,0
LISA_0051_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0051_LF_sag.nii.gz,1,1,0,0,1,0,0
LISA_0052_LF_axi.nii.gz,0,1,0,0,0,1,1
LISA_0052_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0052_LF_sag.nii.gz,0,1,0,0,0,1,1
LISA_0053_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0053_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0053_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0054_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0054_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0054_LF_sag.nii.gz,0,1,0,0,0,1,2
LISA_0055_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0055_LF_cor.nii.gz,0,0,2,0,0,1,0
LISA_0055_LF_sag.nii.gz,0,1,1,0,0,1,0
LISA_0056_LF_axi.nii.gz,0,1,0,0,0,1,0
LISA_0056_LF_cor.nii.gz,0,0,0,0,0,1,0
LISA_0056_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_0057_LF_axi.nii.gz,0,0,1,0,1,0,0
LISA_0057_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0057_LF_sag.nii.gz,0,0,0,0,0,0,1
LISA_0058_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0058_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0058_LF_sag.nii.gz,0,0,0,0,1,0,0
LISA_0059_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0059_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0059_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0060_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0060_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0060_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_0061_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0061_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0061_LF_sag.nii.gz,1,1,0,0,0,0,0
LISA_0062_LF_axi.nii.gz,0,0,1,0,0,1,1
LISA_0062_LF_cor.nii.gz,0,0,1,0,2,1,0
LISA_0062_LF_sag.nii.gz,0,0,0,0,0,0,1
LISA_0063_LF_axi.nii.gz,0,0,0,0,0,0,1
LISA_0063_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0063_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0064_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0064_LF_cor.nii.gz,0,0,1,0,2,1,0
LISA_0064_LF_sag.nii.gz,0,1,1,0,2,1,0
LISA_0065_LF_axi.nii.gz,0,0,0,0,1,1,1
LISA_0065_LF_cor.nii.gz,0,0,2,0,0,0,0
LISA_0065_LF_sag.nii.gz,0,1,1,0,1,0,1
LISA_0066_LF_axi.nii.gz,0,0,1,0,0,0,1
LISA_0066_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0066_LF_sag.nii.gz,0,0,0,0,0,0,1
LISA_0067_LF_axi.nii.gz,0,0,0,0,0,0,1
LISA_0067_LF_cor.nii.gz,0,0,1,0,2,1,0
LISA_0067_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0068_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0068_LF_cor.nii.gz,0,0,1,0,0,0,1
LISA_0068_LF_sag.nii.gz,0,0,1,0,0,0,1
LISA_0069_LF_axi.nii.gz,0,0,0,0,1,2,0
LISA_0069_LF_cor.nii.gz,0,1,0,0,1,1,0
LISA_0069_LF_sag.nii.gz,0,2,1,0,2,1,0
LISA_0070_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0070_LF_cor.nii.gz,0,0,1,0,0,0,1
LISA_0070_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0071_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0071_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_0071_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0072_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0072_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0072_LF_sag.nii.gz,0,2,0,0,0,0,1
LISA_0073_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0073_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0073_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0074_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0074_LF_cor.nii.gz,0,0,0,0,0,1,1
LISA_0074_LF_sag.nii.gz,0,1,0,0,0,1,1
LISA_0075_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0075_LF_cor.nii.gz,0,1,0,0,2,0,0
LISA_0075_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0076_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0076_LF_cor.nii.gz,0,1,0,0,0,0,1
LISA_0076_LF_sag.nii.gz,0,0,0,1,1,0,0
LISA_0077_LF_axi.nii.gz,0,0,0,0,2,1,0
LISA_0077_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0077_LF_sag.nii.gz,0,1,0,0,1,0,0
LISA_0078_LF_axi.nii.gz,0,0,1,0,0,1,1
LISA_0078_LF_cor.nii.gz,0,0,2,0,1,0,0
LISA_0078_LF_sag.nii.gz,0,1,1,1,0,1,1
LISA_0079_LF_axi.nii.gz,0,1,0,0,2,1,0
LISA_0079_LF_cor.nii.gz,0,0,0,0,2,0,0
LISA_0079_LF_sag.nii.gz,0,1,0,0,1,0,1
LISA_0080_LF_axi.nii.gz,0,1,0,0,1,1,0
LISA_0080_LF_cor.nii.gz,0,1,0,0,2,1,1
LISA_0080_LF_sag.nii.gz,0,1,0,0,2,1,1
LISA_0081_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_0081_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0081_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0082_LF_axi.nii.gz,0,1,0,0,1,1,1
LISA_0082_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0082_LF_sag.nii.gz,0,1,0,0,1,1,1
LISA_0083_LF_axi.nii.gz,0,2,0,1,2,1,0
LISA_0083_LF_cor.nii.gz,0,0,0,0,2,0,0
LISA_0083_LF_sag.nii.gz,0,2,0,0,2,1,1
LISA_0084_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0084_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0084_LF_sag.nii.gz,0,1,0,0,0,0,2
LISA_0085_LF_axi.nii.gz,0,0,0,1,0,1,2
LISA_0085_LF_cor.nii.gz,0,0,0,0,0,1,2
LISA_0085_LF_sag.nii.gz,0,1,1,0,0,0,2
LISA_0086_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0086_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0086_LF_sag.nii.gz,0,2,0,0,0,0,0
LISA_0087_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0087_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0087_LF_sag.nii.gz,0,1,0,0,1,0,0
LISA_0088_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0088_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0088_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0089_LF_axi.nii.gz,0,0,0,1,0,1,0
LISA_0089_LF_cor.nii.gz,0,0,0,0,2,1,1
LISA_0089_LF_sag.nii.gz,0,0,0,0,2,1,1
LISA_0090_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_0090_LF_cor.nii.gz,0,0,0,0,2,0,0
LISA_0090_LF_sag.nii.gz,0,2,0,0,1,0,0
LISA_0091_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0091_LF_cor.nii.gz,0,0,2,0,2,1,0
LISA_0091_LF_sag.nii.gz,0,1,0,0,1,0,0
LISA_0092_LF_axi.nii.gz,0,0,0,0,0,1,1
LISA_0092_LF_cor.nii.gz,0,0,0,0,0,0,1
LISA_0092_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0093_LF_axi.nii.gz,0,1,0,0,0,0,1
LISA_0093_LF_cor.nii.gz,0,0,0,0,1,0,1
LISA_0093_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_0094_LF_axi.nii.gz,0,0,0,0,0,0,1
LISA_0094_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_0094_LF_sag.nii.gz,0,1,0,0,0,0,1
LISA_0095_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_0095_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_0095_LF_sag.nii.gz,0,1,0,0,0,1,0
LISA_0096_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_0096_LF_cor.nii.gz,1,0,0,0,0,0,0
LISA_0096_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1001_LF_axi.nii.gz,2,1,0,0,0,0,0
LISA_1001_LF_cor.nii.gz,2,1,0,0,0,0,0
LISA_1001_LF_sag.nii.gz,1,0,0,0,0,2,1
LISA_1002_LF_axi.nii.gz,1,0,0,0,0,0,0
LISA_1002_LF_cor.nii.gz,1,0,0,0,0,0,0
LISA_1002_LF_sag.nii.gz,1,1,0,0,1,1,0
LISA_1003_LF_axi.nii.gz,2,1,0,0,0,1,0
LISA_1003_LF_cor.nii.gz,1,1,0,0,0,1,0
LISA_1003_LF_sag.nii.gz,1,1,0,0,0,1,0
LISA_1004_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1004_LF_cor.nii.gz,0,1,0,0,2,1,0
LISA_1004_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1005_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1005_LF_cor.nii.gz,0,1,0,0,0,0,0
LISA_1005_LF_sag.nii.gz,0,1,0,0,0,1,0
LISA_1006_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1006_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1006_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1007_LF_axi.nii.gz,0,1,0,0,0,1,0
LISA_1007_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1007_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1008_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1008_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1008_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1009_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1009_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_1009_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1010_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1010_LF_cor.nii.gz,0,1,0,0,1,1,0
LISA_1010_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1011_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1011_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1011_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1012_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_1012_LF_cor.nii.gz,0,0,0,0,1,1,0
LISA_1012_LF_sag.nii.gz,1,0,0,0,2,1,0
LISA_1013_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1013_LF_cor.nii.gz,0,0,0,0,0,1,0
LISA_1013_LF_sag.nii.gz,1,0,1,0,2,2,0
LISA_1014_LF_axi.nii.gz,0,0,0,0,1,1,0
LISA_1014_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1014_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1015_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1015_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_1015_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1016_LF_axi.nii.gz,0,0,0,0,2,1,0
LISA_1016_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1016_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1017_LF_axi.nii.gz,2,0,0,0,0,1,0
LISA_1017_LF_cor.nii.gz,2,1,0,0,1,1,0
LISA_1017_LF_sag.nii.gz,2,1,0,0,2,1,0
LISA_1018_LF_axi.nii.gz,2,1,0,0,0,1,0
LISA_1018_LF_cor.nii.gz,2,1,0,0,0,1,0
LISA_1018_LF_sag.nii.gz,2,1,0,0,0,1,0
LISA_1019_LF_axi.nii.gz,2,1,0,0,0,1,0
LISA_1019_LF_cor.nii.gz,2,1,0,0,0,2,0
LISA_1019_LF_sag.nii.gz,2,1,0,0,0,1,0
LISA_1020_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1020_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1020_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1021_LF_axi.nii.gz,2,1,0,0,0,1,0
LISA_1021_LF_cor.nii.gz,2,0,0,0,2,1,0
LISA_1021_LF_sag.nii.gz,2,0,0,0,1,1,0
LISA_1022_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1022_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1022_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1023_LF_axi.nii.gz,0,1,1,0,0,0,0
LISA_1023_LF_cor.nii.gz,0,1,0,0,0,0,0
LISA_1023_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1024_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1024_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_1024_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1025_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1025_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1025_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1026_LF_axi.nii.gz,0,1,0,0,0,0,0
LISA_1026_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1026_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1027_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1027_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1027_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1028_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1028_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1028_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1029_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1029_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1029_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1030_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1030_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1030_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1031_LF_axi.nii.gz,0,1,0,0,0,0,0
LISA_1031_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1031_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1032_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1032_LF_cor.nii.gz,1,0,0,0,0,0,0
LISA_1032_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1033_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1033_LF_cor.nii.gz,0,0,0,0,1,0,0
LISA_1033_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1034_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1034_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1034_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1035_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1035_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1035_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1036_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1036_LF_cor.nii.gz,0,0,0,0,2,0,0
LISA_1036_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1037_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1037_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1037_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1038_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1038_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_1038_LF_sag.nii.gz,0,0,1,0,0,0,0
LISA_1039_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1039_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1039_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1040_LF_axi.nii.gz,0,0,0,0,0,1,0
LISA_1040_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1040_LF_sag.nii.gz,0,0,0,0,0,0,0
LISA_1041_LF_axi.nii.gz,2,0,0,0,0,0,0
LISA_1041_LF_cor.nii.gz,0,0,1,0,0,0,0
LISA_1041_LF_sag.nii.gz,1,0,0,0,0,0,1
LISA_1042_LF_axi.nii.gz,0,0,2,0,1,1,1
LISA_1042_LF_cor.nii.gz,0,0,1,0,1,0,0
LISA_1042_LF_sag.nii.gz,0,0,0,0,0,1,0
LISA_1043_LF_axi.nii.gz,0,0,0,0,0,0,0
LISA_1043_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1043_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1044_LF_axi.nii.gz,0,0,0,0,2,1,0
LISA_1044_LF_cor.nii.gz,0,0,0,0,0,0,0
LISA_1044_LF_sag.nii.gz,0,1,0,0,0,0,0
LISA_1045_LF_axi.nii.gz,0,0,0,0,1,0,0
LISA_1045_LF_cor.nii.gz,0,0,0,0,0,0,0
